goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkDecodeDynamic/flat/hamba-8         	 1418931	       837.2 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1425927	       826.8 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1455076	       846.8 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1459788	       821.7 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1455985	       822.8 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1458375	       823.3 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1408767	       826.1 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1453340	       828.7 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1448248	       840.2 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1426869	       833.7 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1421853	       841.1 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1422686	       852.1 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1403102	       842.5 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1424811	       842.9 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1428680	       840.0 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1275948	       995.3 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1366994	       866.9 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1428463	       842.1 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1436130	       836.8 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1432159	       844.3 ns/op	     585 B/op	      19 allocs/op
