goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkSRDecode/flat/goavro-plain-8         	  980168	      1208 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	 1000000	      1215 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	 1000000	      1216 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  977805	      1218 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  999214	      1270 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  977523	      1223 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  993980	      1221 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  963864	      1224 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  973215	      1220 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  981307	      1220 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  975421	      1226 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  977894	      1222 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  993321	      1221 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1218 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  977420	      1223 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  986791	      1222 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  975318	      1221 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  988372	      1243 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  969951	      1233 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  999271	      1250 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  644958	      1828 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  651975	      1823 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  654643	      1826 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  645116	      1821 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  637513	      1869 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  664189	      1834 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  656721	      1828 ns/op	    1242 B/op	      35 allocs/op
