goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkPulsarPattern/flat/hamba-8         	 9234936	       127.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9418396	       127.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9386556	       128.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9123757	       130.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9141652	       132.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9278042	       132.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9229532	       133.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9069614	       134.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 8954006	       135.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9106491	       133.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 9626098	       123.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	10030564	       125.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 8675845	       125.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 9693075	       126.6 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 9821517	       139.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 9617608	       138.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 9457195	       157.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 6482510	       160.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 8694908	       157.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	 8479968	       133.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9721699	       153.4 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 8427502	       132.0 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9525387	       128.1 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9929263	       142.2 ns/op	     105 B/op	       2 allocs/op
