goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7915773	       155.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7810732	       158.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7580259	       157.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7729814	       159.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7629241	       156.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7791450	       154.6 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7318916	       158.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7694017	       155.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7396723	       158.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7400106	       157.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 8155980	       142.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 8487348	       148.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 8220716	       152.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 7746439	       146.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 7399820	       155.6 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 7621258	       153.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 8214969	       145.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 8511070	       143.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 8552662	       144.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	 8700952	       141.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8455881	       146.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8229572	       141.6 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8532639	       141.0 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8716149	       140.0 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8647952	       139.4 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8750410	       139.0 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8747691	       141.2 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8538337	       138.9 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8732919	       144.0 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/twmb-8               	 8381648	       142.6 ns/op	     105 B/op	       2 allocs/op
