goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkDecodeDynamic/flat/hamba-8         	 1541840	       757.7 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1553552	       773.7 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1571179	       766.2 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1517215	       771.3 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1564885	       767.2 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1585429	       750.9 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1532676	       914.2 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1582275	       760.6 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1601268	       755.9 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/hamba-8         	 1601275	       759.8 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1628346	       735.4 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1649588	       735.3 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1631636	       746.2 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1636306	       743.6 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1589301	       742.5 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1641208	       739.3 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1626862	       741.4 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1631722	       738.4 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1621701	       763.8 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/iskorotkov-8    	 1582351	       737.8 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3618100	       344.9 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3712029	       356.5 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3730588	       347.2 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3405390	       352.5 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3371067	       325.1 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3674485	       331.3 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3499788	       332.8 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3669111	       342.4 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3386694	       333.5 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-8          	 3713876	       325.6 ns/op	     465 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3768090	       321.5 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3755510	       320.7 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3605035	       323.9 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3773258	       322.8 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3753006	       335.1 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3763100	       323.3 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3658656	       321.1 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3707002	       321.7 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3759904	       319.8 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/twmb-alias-8    	 3770241	       319.5 ns/op	     440 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5163913	       230.1 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5227275	       230.5 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5068099	       231.5 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5151318	       231.0 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5258694	       232.0 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5251212	       230.5 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5243550	       229.6 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5097807	       233.9 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5211126	       239.6 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/flat/goavro-8        	 5018678	       234.8 ns/op	     448 B/op	      10 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  528170	      2857 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  535440	      2258 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  534804	      2431 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  533433	      2253 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  532963	      2299 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  536547	      2265 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  524329	      2381 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  208166	     15533 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  512427	      2327 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/hamba-8       	  520166	      2300 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  539341	      2268 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  541093	      2249 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  531619	      2247 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  542887	      2229 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  541450	      2226 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  541670	      2227 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  542857	      2236 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  536073	      2251 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  524527	      2225 ns/op	    2039 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/iskorotkov-8  	  520248	      2223 ns/op	    2040 B/op	      60 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1236723	       970.5 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1229203	       978.6 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1217439	       978.0 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1238902	       973.3 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1226061	       975.6 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1218200	       980.0 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1227469	       972.2 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1227098	       974.3 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1229649	       973.4 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-8        	 1229680	       972.4 ns/op	    1631 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1257732	       961.1 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1251332	       955.9 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1252923	       963.2 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1253354	       960.9 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1254844	       969.8 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1239579	       958.9 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1247911	       979.9 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1252720	       961.0 ns/op	    1584 B/op	      29 allocs/op
