goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkSRDecode/flat/goavro-plain-8         	  778746	      1421 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  955587	      1401 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  935988	      1498 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  778902	      1329 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  991018	      1229 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  990050	      1337 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	  877459	      1258 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	 1000000	      1195 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	 1000000	      1165 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-plain-8         	 1000000	      1147 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1191 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1261 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  955717	      1229 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1164 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	  996842	      1163 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1196 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1159 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1137 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1150 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/goavro-stdjson-8       	 1000000	      1151 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  527334	      2563 ns/op	     994 B/op	      41 allocs/op
