goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkPulsarPattern/flat/hamba-8         	10448140	       114.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	10602224	       116.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	10286918	       124.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	10189189	       116.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 8657214	       126.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9919083	       115.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	10701596	       113.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	10471173	       112.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	 9779140	       113.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/hamba-8         	10719174	       114.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11709796	       105.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11624752	       106.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11357948	       103.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11671098	       105.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11429323	       105.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11499837	       107.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11227146	       105.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11623438	       122.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	11199409	       112.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/iskorotkov-8    	10691557	       107.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9861601	       122.2 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9828196	       122.4 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9630070	       123.7 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9973234	       122.0 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9905668	       122.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9901657	       122.9 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9310576	       121.7 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9895376	       127.9 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9933585	       120.9 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9624024	       121.6 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3856706	       304.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3978012	       314.0 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3780612	       387.5 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3421472	       354.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3976036	       306.1 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 4004718	       322.0 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3724725	       305.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3964098	       309.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3945714	       309.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 4031127	       331.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4482613	       272.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4540885	       270.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4431283	       265.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4565317	       265.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4518783	       265.0 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4466370	       268.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4465128	       271.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4538592	       310.0 ns/op	     279 B/op	       5 allocs/op
