goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9858519	       123.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9642796	       125.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	10087028	       126.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9787485	       125.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9815395	       127.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9547830	       130.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9271915	       125.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9503494	       122.6 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	10162483	       119.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 9848557	       128.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10374676	       114.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10438716	       114.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10613257	       114.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10757410	       117.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10326985	       113.6 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10421268	       113.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10928658	       114.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10998684	       151.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/typed/iskorotkov-8         	10676623	       114.6 ns/op	     105 B/op	       1 allocs/op
